object_id,object_type,source_type,family,p,q,base_rule,base_sl_abs,base_sl_signed,expected_pq,torus_status,canon_status,epsilon_SE,sigma,model_id,chi,local_turns,attachment_turns,total_turns,residual_to_chi,charge_leak_turns,decoherence_residual,allowed_n,selected_n_core,min_energy,sl_phys_abs,exact_holonomy_chi,integer_selection_chi,exact_pq_plus_1,charge_safe,audit_status,notes
fremlin_fseries:7_2/knot.7_2d.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2d.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2d.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2d.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2d.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_2/knot.7_2d.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2d.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2d.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2d.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2d.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.01,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.01,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.01,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,0.1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_2/knot.7_2r.fseries,single_twist,fremlin_fseries,control_twist,,,twist_attachment_only_no_pq_rule,0,0,,,DIAGNOSTIC_TWIST_ATTACHMENT_ONLY,1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_2/knot.7_2r.fseries Twist/general control: no pq rule; geometry/framed-SL must be supplied by a separate geometry audit.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_3/knot.7_3d.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_3/knot.7_3d.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.990099009901,0.00990099009901,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.01,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.990099009901,-0.00990099009901,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.909090909091,0.0909090909091,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0.1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.909090909091,-0.0909090909091,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C1_COMPENSATED_NEUTRAL_MATTER,1,0.5,0.5,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_4/knot.7_4.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,1,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-0.5,-0.5,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_4/knot.7_4.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_5/knot.7_5.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C0_CANON_ATTACHED_BASELINE,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,BASELINE_EXACT_ATTACHMENT,file=7_5/knot.7_5.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_5/knot.7_5.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C1_COMPENSATED_NEUTRAL_MATTER,1,1,0,1,0,0,0,"-5,-3,-1,1,3,5",1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_5/knot.7_5.fseries General source row: attachment algebra only; no canonical base SL computed here.
fremlin_fseries:7_5/knot.7_5.fseries,single_general,fremlin_fseries,general,,,general_attachment_only_no_geom_SL,0,0,,,DIAGNOSTIC_GENERAL_ATTACHMENT_ONLY,0,1,C2_COMPENSATED_NEUTRAL_ANTIMATTER,-1,-1,0,-1,0,0,0,"-5,-3,-1,1,3,5",-1,0,1,YES,YES,,YES,CANON_CANDIDATE_EXACT_COMPENSATED,file=7_5/knot.7_5.fseries General source row: attachment algebra only; no canonical base SL computed here.
